instance,source,n_vars,n_cons,solver,obj_nominal,solve_time,converged,S,feasibility_rate,infeasibility_rate,mean_obj,std_obj,mean_violation,max_violation,n_test
klein1,NETLIB,54,54,OR-Tools GLOP-SAA,nan,15.932184008997865,False,100,0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,OR-Tools PDLP-SAA,nan,46.730448383954354,False,100,0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,Bertsimas-Sim(γ=3.0),nan,0.040782929048873484,False,parametric robust (γ=3.0),0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,CVaR-LP(α=0.95),nan,4.015435426030308,False,100,0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,FuzzyPD-LP,0.0,48.59602050995454,True,BS(γ=5.0)+AdvSAA(100)+Combo,0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,TSAR-BS-only,0.0,4.726637516985647,True,BS-only(γ=5.0),0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,TSAR-Adv-only,0.0,22.474136178963818,True,AdvSAA-only(S=100),0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
klein1,NETLIB,54,54,TSAR-No-calib,0.0,1.9825795920332894,True,No-calibration(fixed γ=2.0),0.0,1.0,0.0,0.0,48.08351777472154,54.24153764502881,400
lseu,MIPLIB,89,28,Nominal-LP,662.9741176470588,0.273598276078701,True,deterministic (mean only),0.0,1.0,663.1731348308485,10.707788873249012,145.33055763169352,585.9846029024288,400
lseu,MIPLIB,89,28,HiGHS-SAA,nan,121.38147462694906,False,100,0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,OR-Tools GLOP-SAA,nan,13.292852128040977,False,100,0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,OR-Tools PDLP-SAA,nan,16.962788552977145,False,100,0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,Bertsimas-Sim(γ=3.0),nan,0.17384915694128722,False,parametric robust (γ=3.0),0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,CVaR-LP(α=0.95),nan,25.110149487038143,False,100,0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,FuzzyPD-LP,0.0,60.94105178094469,True,BS(γ=5.0)+AdvSAA(100)+Combo,0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,TSAR-BS-only,0.0,8.97772119694855,True,BS-only(γ=5.0),0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,TSAR-Adv-only,0.0,29.959165973006748,True,AdvSAA-only(S=100),0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
lseu,MIPLIB,89,28,TSAR-No-calib,0.0,1.1438423410290852,True,No-calibration(fixed γ=2.0),0.0,1.0,0.0,0.0,2600.8500463432683,2875.0551348332356,400
gt2,MIPLIB,188,29,Nominal-LP,13460.233074411897,0.09904342994559556,True,deterministic (mean only),0.0,1.0,13447.39837965553,297.7048178218392,140.02603663846088,869.6814601580973,400
gt2,MIPLIB,188,29,HiGHS-SAA,16443.888253162997,3.3869806340662763,True,100,0.9125,0.08750000000000002,16369.94914737171,363.27382215852816,0.08180137801263758,7.720496431374158,400
gt2,MIPLIB,188,29,OR-Tools GLOP-SAA,16443.88826973571,35.03691455698572,True,100,0.9125,0.08750000000000002,16369.949163864378,363.27382218298453,0.0818013764556256,7.720496432153254,400
gt2,MIPLIB,188,29,OR-Tools PDLP-SAA,16443.80968176381,34.097215289017186,True,100,0.91,0.08999999999999997,16369.870778372897,363.27278374087234,0.08234192619536891,7.720496432148536,400
gt2,MIPLIB,188,29,Bertsimas-Sim(γ=3.0),20016.404592492512,0.13014048500917852,True,parametric robust (γ=3.0),1.0,0.0,18445.08286207184,410.26255298107304,0.0,0.0,400
gt2,MIPLIB,188,29,CVaR-LP(α=0.95),16385.620632644936,2.79366287891753,True,100,0.9125,0.08750000000000002,16369.94916335115,363.2738221551092,0.08180138172211747,7.720496431374045,400
